Song,danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,duration_ms,time
Je fais le mort,0.67,0.673,9,-5.62,1,0.026,0.0153,0.104,0.557,113.977,222.653,3
Break My Heart,0.701,0.79,7,-6.887,0,0.142,0.0843,0.183,0.619,120.022,205.52,4
Golden Times,0.687,0.574,5,-11.22,0,0.0516,0.012,0.299,0.234,138.083,192.933,4
Birdcage,0.669,0.709,6,-8.776,0,0.0452,0.0124,0.062,0.278,108.998,339.083,4
Toute latitude,0.572,0.798,4,-6.878,0,0.0525,0.205,0.122,0.412,97.16,198.336,4
Sensations,0.439,0.832,9,-5.784,0,0.0377,0.000758,0.384,0.272,143.993,219.2,4
Swamp,0.813,0.598,3,-7.852,0,0.056,0.0207,0.0984,0.86,142.057,170.704,4
Your Woman,0.786,0.786,7,-6.071,0,0.0293,0.022,0.0975,0.883,102.975,256.069,4
True Love,0.854,0.557,7,-8.334,1,0.0838,0.328,0.102,0.21,98.496,360.227,4
La vague,0.63,0.552,0,-8.356,1,0.0373,0.0502,0.145,0.182,129.967,235,4
The Iceland Sound,0.795,0.654,8,-7.132,1,0.0589,0.165,0.0972,0.791,99.997,218.4,4
Un amour au super u,0.684,0.535,2,-8.742,0,0.0309,0.41,0.156,0.552,112.986,197.522,4
Misses,0.457,0.566,11,-11.97,0,0.0293,0.274,0.177,0.246,100.007,215.893,4
Kafi Lied (feat. Sarah Palin),0.871,0.459,9,-13.183,0,0.069,0.163,0.052,0.325,114.004,464.453,4
Darling Darling Darling...,0.793,0.365,4,-7.217,0,0.0467,0.772,0.0905,0.425,106.053,277.347,3
Danser seul (ne suffit pas),0.827,0.602,7,-8.22,1,0.0566,0.000251,0.29,0.521,133.055,234.733,4
Luxembourg Park,0.894,0.357,9,-9.653,0,0.067,0.352,0.0894,0.835,120.016,209.43,4
Schenzen V (Radio Edit),0.699,0.754,0,-6.397,1,0.0356,0.00203,0.183,0.458,122.008,265.082,4
Budapest,0.841,0.606,10,-7.438,1,0.0482,0.00122,0.0835,0.8,126.053,329.947,4
Hypernuit,0.559,0.532,8,-13.554,0,0.0354,0.864,0.108,0.701,86.835,248.146,4
Oasis,0.368,0.509,8,-9.824,1,0.0599,0.831,0.0932,0.214,82.887,237.387,4
Stil,0.807,0.778,8,-7.407,1,0.0397,0.000272,0.0957,0.318,119.998,425.107,4
